127.0.0.1 - - [23/Apr/2023:13:24:32 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:24:34 +0300] "GET /Vko_4_Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:24:34 +0300] "GET /Vko_4_Asiakkaat/scripts/main.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:24:34 +0300] "GET /Vko_4_Asiakkaat/style.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:27:45 +0300] "GET /Vko_4_Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:27:45 +0300] "GET /Vko_4_Asiakkaat/scripts/main.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:27:45 +0300] "GET /Vko_4_Asiakkaat/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:27:52 +0300] "GET /Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:28 +0300] "GET /Vko_4_Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:28 +0300] "GET /Vko_4_Asiakkaat/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:28 +0300] "GET /Vko_4_Asiakkaat/scripts/main.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:28 +0300] "GET /Vko_4_Asiakkaat/asiakkaat?hakusana= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:31 +0300] "GET /Vko_4_Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:31 +0300] "GET /Vko_4_Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:30:31 +0300] "GET /Vko_4_Asiakkaat/asiakkaat?hakusana= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:34 +0300] "GET /Vko_4_Asiakkaat/listaaAsiakkaat.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:34 +0300] "GET /Vko_4_Asiakkaat/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:34 +0300] "GET /Vko_4_Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:34 +0300] "GET /Vko_4_Asiakkaat/asiakkaat?hakusana= HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:40 +0300] "GET /Vko_4_Asiakkaat/asiakkaat?hakusana=es HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [23/Apr/2023:13:31:44 +0300] "GET /Vko_4_Asiakkaat/asiakkaat?hakusana= HTTP/1.1" 200 438
